cpt_code,description,category,contrast
A4407,"Ext wear ost skn barr <=4sq""",Other,Unspecified
A4408,"Ext wear ost skn barr >4sq""",Other,Unspecified
A4409,Ost skn barr convex <=4 sq i,Other,Unspecified
A4410,Ost skn barr extnd >4 sq,Other,Unspecified
A4411,Ost skn barr extnd =4sq,Other,Unspecified
A4412,Ost pouch drain high output,Other,Unspecified
A4413,2 pc drainable ost pouch,Other,Unspecified
A4414,Ost sknbar w/o conv<=4 sq in,Other,Unspecified
A4415,Ost skn barr w/o conv >4 sqi,Other,Unspecified
A4416,Ost pch clsd w barrier/filtr,Other,Unspecified
A4417,Ost pch w bar/bltinconv/fltr,Other,Unspecified
A4418,Ost pch clsd w/o bar w filtr,Other,Unspecified
A4419,Ost pch for bar w flange/flt,Other,Unspecified
A4420,Ost pch clsd for bar w lk fl,Other,Unspecified
A4421,Ostomy supply misc,Other,Unspecified
A4422,Ost pouch absorbent material,Other,Unspecified
A4423,Ost pch for bar w lk fl/fltr,Other,Unspecified
A4424,Ost pch drain w bar & filter,Other,Unspecified
A4425,Ost pch drain for barrier fl,Other,Unspecified
A4426,Ost pch drain 2 piece system,Other,Unspecified
A4427,Ost pch drain/barr lk flng/f,Other,Unspecified
A4428,Urine ost pouch w faucet/tap,Other,Unspecified
A4429,Urine ost pouch w bltinconv,Other,Unspecified
A4430,Ost urine pch w b/bltin conv,Other,Unspecified
A4431,Ost pch urine w barrier/tapv,Other,Unspecified
A4432,Os pch urine w bar/fange/tap,Other,Unspecified
A4433,Urine ost pch bar w lock fln,Other,Unspecified
A4434,Ost pch urine w lock flng/ft,Other,Unspecified
A4435,1pc ost pch drain hgh output,Other,Unspecified
A4436,Irr supply sleev reus per mo,Other,Unspecified
A4437,Irr supply sleev disp per mo,Other,Unspecified
A4438,Adhesive clip ext ens contr,Other,Unspecified
A4450,Non-waterproof tape,Other,Unspecified
A4452,Waterproof tape,Other,Unspecified
A4453,Rec cath man pump enema repl,Other,Unspecified
A4455,Adhesive remover per ounce,Other,Unspecified
A4456,"Adhesive remover, wipes",Other,Unspecified
A4457,Enema tube any type repl,Other,Unspecified
A4458,Reusable enema bag,Other,Unspecified
A4459,"Manual pump enema, reusable",Other,Unspecified
A4461,Surgicl dress hold non-reuse,Other,Unspecified
A4463,Surgical dress holder reuse,Other,Unspecified
A4465,Non-elastic extremity binder,Other,Unspecified
A4467,Belt strap sleev grmnt cover,Other,Unspecified
A4468,Exsuff belt incl all sup acc,Other,Unspecified
A4470,Gravlee jet washer,Other,Unspecified
A4480,Vabra aspirator,Other,Unspecified
A4481,Tracheostoma filter,Other,Unspecified
A4483,Moisture exchanger,Other,Unspecified
A4490,Above knee surgical stocking,Other,Unspecified
A4495,Thigh length surg stocking,Other,Unspecified
A4500,Below knee surgical stocking,Other,Unspecified
A4510,Full length surg stocking,Other,Unspecified
A4520,Incontinence garment anytype,Other,Unspecified
A4540,Trans elec nerv periph nerv,Other,Unspecified
A4541,Monthly supp use with e0733,Other,Unspecified
A4542,Supp ext up limb tremor stim,Other,Unspecified
A4543,Supply trans elec nerve stim,Other,Unspecified
A4544,Electro nerve stimulator rls,CT,Unspecified
A4545,Suppl accessor tibial stim,Other,Unspecified
A4550,Surgical trays,Other,Unspecified
A4553,"Nondisp underpads, all sizes",Other,Unspecified
A4554,Disposable underpads,Other,Unspecified
A4555,Ca tx e-stim electr/transduc,CT,Unspecified
A4556,"Electrodes, pair",CT,Unspecified
A4557,"Lead wires, pair",Other,Unspecified
A4558,Conductive gel or paste,CT,Unspecified
A4559,Coupling gel or paste,Other,Unspecified
A4560,Nmes disposable,Other,Unspecified
A4561,Pessary reusable rub anytype,Other,Unspecified
A4562,Pessary reusable nonrubber,Other,Unspecified
A4563,Vag inser rectal control sys,CT,Unspecified
A4564,"Pessary, disposable any type",Other,Unspecified
A4565,Slings,Other,Unspecified
A4566,Should sling/vest/abrestrain,Other,Unspecified
A4570,Splint,Other,Unspecified
A4575,Hyperbaric o2 chamber disps,Other,Unspecified
A4580,Cast supplies (plaster),Other,Unspecified
A4590,Special casting material,Other,Unspecified
A4593,Neuromod sti sys adj rehab,Other,Unspecified
A4594,Neuromod adj rehab mouthpie,Other,Unspecified
A4595,Tens suppl 2 lead per month,Other,Unspecified
A4596,Ces system monthly supp,Other,Unspecified
A4600,"Sleeve, inter limb comp dev",Other,Unspecified
A4601,Lith ion non prosth recharge,Other,Unspecified
A4602,Replace lithium battery 1.5v,Other,Unspecified
A4604,Tubing with heating element,Other,Unspecified
A4605,Trach suction cath close sys,CT,Unspecified
A4606,Oxygen probe used w oximeter,Other,Unspecified
A4608,Transtracheal oxygen cath,Other,Unspecified
A4611,Heavy duty battery,Other,Unspecified
A4612,Battery cables,Other,Unspecified
A4613,Battery charger,Other,Unspecified
A4614,Hand-held pefr meter,Other,Unspecified
A4615,Cannula nasal,Other,Unspecified
A4616,Tubing (oxygen) per foot,Other,Unspecified
A4617,Mouth piece,Other,Unspecified
A4618,Breathing circuits,Other,Unspecified
A4619,Face tent,Other,Unspecified
A4620,Variable concentration mask,Other,Unspecified
A4623,Tracheostomy inner cannula,Other,Unspecified
A4624,Tracheal suction tube,CT,Unspecified
A4625,Trach care kit for new trach,Other,Unspecified
A4626,Tracheostomy cleaning brush,Other,Unspecified
A4627,Spacer bag/reservoir,Other,Unspecified
A4628,Oropharyngeal suction cath,CT,Unspecified
A4629,Tracheostomy care kit,Other,Unspecified
A4630,Repl bat t.e.n.s. own by pt,Other,Unspecified
A4633,Uvl replacement bulb,Other,Unspecified
A4634,Replacement bulb th lightbox,Other,Unspecified
A4635,Underarm crutch pad,Other,Unspecified
A4636,Handgrip for cane etc,Other,Unspecified
A4637,Repl tip cane/crutch/walker,Other,Unspecified
A4638,Repl batt pulse gen sys,Other,Unspecified
A4639,Infrared ht sys replcmnt pad,Other,Unspecified
A4640,Alternating pressure pad,Other,Unspecified
A4641,Radiopharm dx agent noc,Other,Unspecified
A4642,In111 satumomab,Other,Unspecified
A4648,Implantable tissue marker,Other,Unspecified
A4649,Surgical supplies,Other,Unspecified
A4650,Implant radiation dosimeter,Other,Unspecified
A4651,Calibrated microcap tube,Other,Unspecified
A4652,Microcapillary tube sealant,Other,Unspecified
A4653,Pd catheter anchor belt,Other,Unspecified
A4657,Syringe w/wo needle,Other,Unspecified
A4660,Sphyg/bp app w cuff and stet,Other,Unspecified
A4663,Dialysis blood pressure cuff,Other,Unspecified
A4670,"Automatic bp monitor, dial",Other,Unspecified
A4671,Disposable cycler set,Other,Unspecified
A4672,"Drainage ext line, dialysis",Other,Unspecified
A4673,Ext line w easy lock connect,CT,Unspecified
A4674,"Chem/antisept solution, 8oz",Other,Unspecified
A4680,"Activated carbon filter, ea",CT,Unspecified
A4690,"Dialyzer, each",Other,Unspecified
A4706,Bicarbonate conc sol per gal,Other,Unspecified
A4707,Bicarbonate conc pow per pac,Other,Unspecified
A4708,Acetate conc sol per gallon,Other,Unspecified
A4709,Acid conc sol per gallon,Other,Unspecified
A4714,Treated water per gallon,Other,Unspecified
A4719,"""y set"" tubing",Other,Unspecified
A4720,Dialysat sol fld vol > 249cc,Other,Unspecified
A4721,Dialysat sol fld vol > 999cc,Other,Unspecified
A4722,Dialys sol fld vol > 1999cc,Other,Unspecified
A4723,Dialys sol fld vol > 2999cc,Other,Unspecified
A4724,Dialys sol fld vol > 3999cc,Other,Unspecified
A4725,Dialys sol fld vol > 4999cc,Other,Unspecified
A4726,Dialys sol fld vol > 5999cc,Other,Unspecified
A4728,"Dialysate solution, non-dex",Other,Unspecified
A4730,"Fistula cannulation set, ea",Other,Unspecified
A4736,"Topical anesthetic, per gram",Other,Unspecified
A4737,Inj anesthetic per 10 ml,Other,Unspecified
A4740,Shunt accessory,Other,Unspecified
A4750,Art or venous blood tubing,Other,Unspecified
A4755,Comb art/venous blood tubing,Other,Unspecified
A4760,"Dialysate sol test kit, each",Other,Unspecified
A4765,Dialysate conc pow per pack,Other,Unspecified
A4766,Dialysate conc sol add 10 ml,Other,Unspecified
A4770,Blood collection tube/vacuum,CT,Unspecified
A4771,Serum clotting time tube,Other,Unspecified
A4772,Blood glucose test strips,Other,Unspecified
A4773,Occult blood test strips,Other,Unspecified
A4774,Ammonia test strips,Other,Unspecified
A4802,Protamine sulfate per 50 mg,Other,Unspecified
A4860,Disposable catheter tips,Other,Unspecified
A4870,Plumb/elec wk hm hemo equip,Other,Unspecified
A4890,Repair/maint cont hemo equip,Other,Unspecified
A4911,Drain bag/bottle,Other,Unspecified
A4913,Misc dialysis supplies noc,Other,Unspecified
A4918,Venous pressure clamp,Other,Unspecified
A4927,Non-sterile gloves,Other,Unspecified
A4928,Surgical mask,Other,Unspecified
A4929,"Tourniquet for dialysis, ea",Other,Unspecified
A4930,"Sterile, gloves per pair",Other,Unspecified
A4931,Reusable oral thermometer,Other,Unspecified
A4932,Reusable rectal thermometer,CT,Unspecified
A5051,Pouch clsd w barr attached,Other,Unspecified
A5052,Clsd ostomy pouch w/o barr,Other,Unspecified
A5053,Clsd ostomy pouch faceplate,Other,Unspecified
A5054,Clsd ostomy pouch w/flange,Other,Unspecified
A5055,Stoma cap,Other,Unspecified
A5056,1 pc ost pouch w filter,Other,Unspecified
A5057,1 pc ost pou w built-in conv,Other,Unspecified
A5061,Pouch drainable w barrier at,Other,Unspecified
A5062,Drnble ostomy pouch w/o barr,Other,Unspecified
A5063,Drain ostomy pouch w/flange,Other,Unspecified
A5071,Urinary pouch w/barrier,Other,Unspecified
A5072,Urinary pouch w/o barrier,Other,Unspecified
A5073,Urinary pouch on barr w/flng,Other,Unspecified
A5081,"Stoma plug or seal, any type",Other,Unspecified
A5082,Continent stoma catheter,Other,Unspecified
A5083,Stoma absorptive cover,Other,Unspecified
A5093,Ostomy accessory convex inse,Other,Unspecified
A5102,Bedside drain btl w/wo tube,Other,Unspecified
A5105,Urinary suspensory,Other,Unspecified
A5112,Urinary leg bag,Other,Unspecified
A5113,Latex leg strap,Other,Unspecified
A5114,Foam/fabric leg strap,Other,Unspecified
A5120,"Skin barrier, wipe or swab",Other,Unspecified
A5121,Solid skin barrier 6x6,Other,Unspecified
A5122,Solid skin barrier 8x8,Other,Unspecified
A5126,Disk/foam pad +or- adhesive,Other,Unspecified
A5131,Appliance cleaner,Other,Unspecified
A5200,Percutaneous catheter anchor,Other,Unspecified
A5500,Diab shoe for density insert,Other,Unspecified
A5501,Diabetic custom molded shoe,Other,Unspecified
A5503,Diabetic shoe w/roller/rockr,Other,Unspecified
A5504,Diabetic shoe with wedge,Other,Unspecified
A5505,Diab shoe w/metatarsal bar,Other,Unspecified
A5506,Diabetic shoe w/off set heel,Other,Unspecified
A5507,Modification diabetic shoe,Other,Unspecified
A5508,Diabetic deluxe shoe,Other,Unspecified
A5510,Compression form shoe insert,Other,Unspecified
A5512,Multi den insert direct form,CT,Unspecified
A5513,Multi den insert custom mold,Other,Unspecified
A5514,Mult den insert dir carv/cam,Other,Unspecified
A6000,Wound warming wound cover,Other,Unspecified
A6010,Collagen based wound filler,Other,Unspecified
A6011,Collagen gel/paste wound fil,Other,Unspecified
A6021,Collagen dressing <=16 sq in,Other,Unspecified
A6022,Collagen drsg>16<=48 sq in,Other,Unspecified
A6023,Collagen dressing >48 sq in,Other,Unspecified
A6024,Collagen dsg wound filler,Other,Unspecified
A6025,"Silicone gel sheet, each",Other,Unspecified
A6154,Wound pouch each,Other,Unspecified
A6196,Alginate dressing <=16 sq in,Other,Unspecified
A6197,Alginate drsg >16 <=48 sq in,Other,Unspecified
A6198,Alginate dressing > 48 sq in,Other,Unspecified
A6199,Alginate drsg wound filler,Other,Unspecified
A6203,Composite drsg <= 16 sq in,Other,Unspecified
A6204,Composite drsg >16<=48 sq in,Other,Unspecified
A6205,Composite drsg > 48 sq in,Other,Unspecified
A6206,Contact layer <= 16 sq in,CT,Unspecified
A6207,Contact layer >16<= 48 sq in,CT,Unspecified
A6208,Contact layer > 48 sq in,CT,Unspecified
A6209,Foam drsg <=16 sq in w/o bdr,Other,Unspecified
A6210,Foam drg >16<=48 sq in w/o b,Other,Unspecified
A6211,Foam drg > 48 sq in w/o brdr,Other,Unspecified
A6212,Foam drg <=16 sq in w/border,Other,Unspecified
A6213,Foam drg >16<=48 sq in w/bdr,Other,Unspecified
A6214,Foam drg > 48 sq in w/border,Other,Unspecified
A6215,Foam dressing wound filler,Other,Unspecified
A6216,Non-sterile gauze<=16 sq in,Other,Unspecified
A6217,Non-sterile gauze>16<=48 sq,Other,Unspecified
A6218,Non-sterile gauze > 48 sq in,Other,Unspecified
A6219,Gauze <= 16 sq in w/border,Other,Unspecified
A6220,Gauze >16 <=48 sq in w/bordr,Other,Unspecified
A6221,Gauze > 48 sq in w/border,Other,Unspecified
A6222,Gauze <=16 in no w/sal w/o b,Other,Unspecified
A6223,Gauze >16<=48 no w/sal w/o b,Other,Unspecified
A6224,Gauze > 48 in no w/sal w/o b,Other,Unspecified
A6228,Gauze <= 16 sq in water/sal,Other,Unspecified
A6229,Gauze >16<=48 sq in watr/sal,Other,Unspecified
A6230,Gauze > 48 sq in water/salne,Other,Unspecified
A6231,Hydrogel dsg<=16 sq in,Other,Unspecified
A6232,Hydrogel dsg>16<=48 sq in,Other,Unspecified
A6233,Hydrogel dressing >48 sq in,Other,Unspecified
A6234,Hydrocolld drg <=16 w/o bdr,Other,Unspecified
A6235,Hydrocolld drg >16<=48 w/o b,Other,Unspecified
A6236,Hydrocolld drg > 48 in w/o b,Other,Unspecified
A6237,Hydrocolld drg <=16 in w/bdr,Other,Unspecified
A6238,Hydrocolld drg >16<=48 w/bdr,Other,Unspecified
A6239,Hydrocolld drg > 48 in w/bdr,Other,Unspecified
A6240,Hydrocolld drg filler paste,Other,Unspecified
A6241,Hydrocolloid drg filler dry,Other,Unspecified
A6242,Hydrogel drg <=16 in w/o bdr,Other,Unspecified
A6243,Hydrogel drg >16<=48 w/o bdr,Other,Unspecified
A6244,Hydrogel drg >48 in w/o bdr,Other,Unspecified
A6245,Hydrogel drg <= 16 in w/bdr,Other,Unspecified
A6246,Hydrogel drg >16<=48 in w/b,Other,Unspecified
A6247,Hydrogel drg > 48 sq in w/b,Other,Unspecified
A6248,Hydrogel drsg gel filler,Other,Unspecified
A6250,Skin seal protect moisturizr,CT,Unspecified
A6251,Absorpt drg <=16 sq in w/o b,Other,Unspecified
A6252,Absorpt drg >16 <=48 w/o bdr,Other,Unspecified
A6253,Absorpt drg > 48 sq in w/o b,Other,Unspecified
A6254,Absorpt drg <=16 sq in w/bdr,Other,Unspecified
A6255,Absorpt drg >16<=48 in w/bdr,Other,Unspecified
A6256,Absorpt drg > 48 sq in w/bdr,Other,Unspecified
A6257,Transparent film <= 16 sq in,Other,Unspecified
A6258,Transparent film >16<=48 in,Other,Unspecified
A6259,Transparent film > 48 sq in,Other,Unspecified
A6260,Wound cleanser any type/size,Other,Unspecified
A6261,Wound filler gel/paste /oz,Other,Unspecified
A6262,Wound filler dry form / gram,Other,Unspecified
A6266,Impreg gauze no h20/sal/yard,Other,Unspecified
A6402,Sterile gauze <= 16 sq in,Other,Unspecified
A6403,Sterile gauze>16 <= 48 sq in,Other,Unspecified
A6404,Sterile gauze > 48 sq in,Other,Unspecified
A6407,"Packing strips, non-impreg",Other,Unspecified
A6410,Sterile eye pad,Other,Unspecified
A6411,Non-sterile eye pad,Other,Unspecified
A6412,Occlusive eye patch,Other,Unspecified
A6413,"Adhesive bandage, first-aid",Other,Unspecified
A6441,"Pad band w>=3"" <5""/yd",Other,Unspecified
A6442,"Conform band n/s w<3""/yd",Other,Unspecified
A6443,"Conform band n/s w>=3""<5""/yd",Other,Unspecified
A6444,"Conform band n/s w>=5""/yd",Other,Unspecified
A6445,"Conform band s w <3""/yd",Other,Unspecified
A6446,"Conform band s w>=3"" <5""/yd",Other,Unspecified
A6447,"Conform band s w >=5""/yd",Other,Unspecified
A6448,"Lt compres band <3""/yd",Other,Unspecified
A6449,"Lt compres band >=3"" <5""/yd",Other,Unspecified
A6450,"Lt compres band >=5""/yd",Other,Unspecified
A6451,"Mod compres band w>=3""<5""/yd",Other,Unspecified
A6452,"High compres band w>=3""<5""yd",Other,Unspecified
A6453,"Self-adher band w <3""/yd",Other,Unspecified
A6454,"Self-adher band w>=3"" <5""/yd",Other,Unspecified
A6455,"Self-adher band >=5""/yd",Other,Unspecified
A6456,"Zinc paste band w >=3""<5""/yd",Other,Unspecified
A6457,Tubular dressing,Other,Unspecified
A6460,Synthetic drsg <= 16 sq in,Other,Unspecified
A6461,Synthetic drsg >16<=48 sq in,Other,Unspecified
A6501,Compres burngarment bodysuit,Other,Unspecified
A6502,Compres burngarment chinstrp,Other,Unspecified
A6503,Compres burngarment facehood,Other,Unspecified
A6504,Cmprsburngarment glove-wrist,Other,Unspecified
A6505,Cmprsburngarment glove-elbow,Other,Unspecified
A6506,Cmprsburngrmnt glove-axilla,Other,Unspecified
A6507,Cmprs burngarment foot-knee,Other,Unspecified
A6508,Cmprs burngarment foot-thigh,Other,Unspecified
A6509,Compres burn garment jacket,Other,Unspecified
A6510,Compres burn garment leotard,Other,Unspecified
A6511,Compres burn garment panty,Other,Unspecified
