id,proc_cd,modifier,proc_desc,category,subcategory
48,70486,,CT MAXILLOFACIAL W/O DYE,CT w/o,Face/Head
49,70480,,CT ORBIT/EAR/FOSSA W/O DYE,CT w/o,Eye/Orbit
50,72192,,CT PELVIS W/O DYE,CT w/o,Abdomen/Pelvis
51,70490,,CT SOFT TISSUE NECK W/O DYE,CT w/o,Spine
52,72128,,CT CHEST SPINE W/O DYE,CT w/o,Spine
53,71250,,CT THORAX DX W/O DYE,CT w/o,Chest
54,73200,,CT UPPER EXTREMITY W/O DYE,CT w/o,Upper Extremity
55,74177,,CT ABD & PELV W/DYE,CT w/,Abdomen/Pelvis
56,74160,,CT ABDOMEN W/DYE,CT w/,Abdomen/Pelvis
57,72126,,CT NECK SPINE W/DYE,CT w/,Spine
58,70460,,CT HEAD/BRAIN W/DYE,CT w/,Brain
59,73701,,CT LOWER EXTREMITY W/DYE,CT w/,Lower Extremity
60,72132,,CT LUMBAR SPINE W/DYE,CT w/,Spine
61,70487,,CT MAXILLOFACIAL W/DYE,CT w/,Face/Head
62,70481,,CT ORBIT/EAR/FOSSA W/DYE,CT w/,Eye/Orbit
63,72193,,CT PELVIS W/DYE,CT w/,Abdomen/Pelvis
64,70491,,CT SOFT TISSUE NECK W/DYE,CT w/,Spine
65,72129,,CT CHEST SPINE W/DYE,CT w/,Chest
66,71260,,CT THORAX DX C+ W/DYE,CT w/,Chest
67,73201,,CT UPPER EXTREMITY W/DYE,CT w/,Upper Extremity
68,74178,,CT ABD & PELV 1/> REGNS W/O & W/DYE,CT w/&w/o,Abdomen/Pelvis
69,74170,,CT ABDOMEN W/O & W/DYE,CT w/&w/o,Abdomen/Pelvis
70,72127,,CT NECK SPINE W/O & W/DYE,CT w/&w/o,Spine
71,70470,,CT HEAD/BRAIN W/O & W/DYE,CT w/&w/o,Brain
72,73702,,CT LWR EXTREMITY W/O&W/DYE,CT w/,Lower Extremity
73,72133,,CT LUMBAR SPINE W/O & W/DYE,CT w/&w/o,Spine
74,70488,,CT MAXILLOFACIAL W/O & W/DYE,CT w/&w/o,Face/Head
75,70482,,CT ORBIT/EAR/FOSSA W/O&W/DYE,CT w/,Eye/Orbit
76,72194,,CT PELVIS W/O & W/DYE,CT w/&w/o,Abdomen/Pelvis
77,70492,,CT SFT TSUE NCK W/O & W/DYE,CT w/&w/o,Spine
78,72130,,CT CHEST SPINE W/O & W/DYE,CT w/&w/o,Spine
79,71270,,CT THORAX DX C-/C+ W/O & W/DYE,CT w/&w/o,Face/Head
80,73202,,CT UPPR EXTREMITY W/O&W/DYE,CT w/,Upper Extremity
81,Q9967,,0,ancillary,ancillary
82,Q9966,,0,ancillary,ancillary
83,A4550,,0,ancillary,ancillary
84,A9578,,0,ancillary,ancillary
85,A9575,,0,ancillary,ancillary
86,77002,,NEEDLE LOCALIZATION BY XRAY,NEEDLE,XRAY
87,73552,,X-RAY EXAM OF FEMUR 2/>,XRAY,lower_extremity
88,73030,,X-RAY EXAM OF SHOULDER,XRAY,upper_extrem
89,73090,,X-RAY EXAM OF FOREARM,XRAY,upper_extrem
90,73564,,X-RAY EXAM KNEE 4 OR MORE,XRAY,lower_extremity
91,72170,,X-RAY EXAM OF PELVIS,XRAY,pelvis
92,73600,,X-RAY EXAM OF ANKLE,XRAY,lower_extremity
93,72110,,X-RAY EXAM L-2 SPINE 4/>VWS,XRAY,spine
94,77012,,CT SCAN FOR NEEDLE BIOPSY,NEEDLE,CT
95,73630,,X-RAY EXAM OF FOOT,XRAY,lower_extremity
96,73040,,CONTRAST X-RAY OF SHOULDER,XRAY,upper_extrem
97,99214,,OFFICE O/P EST MOD 30 MIN,EM,MOD
98,95886,,MUSC TEST DONE W/N TEST COMP,EMG,TEST
99,72114,,X-RAY EXAM L-S SPINE BENDING,XRAY,SPINE
100,73130,,X-RAY EXAM OF HAND,XRAY,upper_extrem
101,73110,,X-RAY EXAM OF WRIST,XRAY,upper_extrem
102,72072,,X-RAY EXAM THORAC SPINE 3VWS,XRAY,SPINE
103,25246,,INJECTION FOR WRIST X-RAY,INJ,XRAY
104,72050,,X-RAY EXAM NECK SPINE 4/5VWS,XRAY,NECK
105,70150,,X-RAY EXAM OF FACIAL BONES,XRAY,FACE
106,72040,,X-RAY EXAM NECK SPINE 2-3 VW,XRAY,SPINE
107,70030,,X-RAY EYE FOR FOREIGN BODY,XRAY,EYE
108,76700,,US EXAM ABDOM COMPLETE,ULTRASOUND,ABDOM
109,99203,,OFFICE O/P NEW LOW 30 MIN,EM,LOW
110,76536,,US EXAM OF HEAD AND NECK,ULTRASOUND,NECK
111,95885,,MUSC TST DONE W/NERV TST LIM,EMG,TEST
112,95870,,NDL EMG LMTD STD MUSC 1 XTR,EMG,NEEDLE
113,73590,,X-RAY EXAM OF LOWER LEG,XRAY,lower_extremity
114,95913,,NRV CNDJ TEST 13/> STUDIES,EMG,TEST
115,95905,,MOTOR &/ SENS NRVE CNDJ TEST,EMG,TEST
116,95907,,NVR CNDJ TST 1-2 STUDIES,EMG,TEST
117,95908,,NRV CNDJ TST 3-4 STUDIES,EMG,TEST
118,95909,,NRV CNDJ TST 5-6 STUDIES,EMG,TEST
119,95910,,NRV CNDJ TEST 7-8 STUDIES,EMG,TEST
120,95911,,NRV CNDJ TEST 9-10 STUDIES,EMG,TEST
121,95912,,NRV CNDJ TEST 11-12 STUDIES,EMG,TEST
122,99202,,OFFICE O/P NEW SF 15 MIN,EM,NEW_LOW
123,99204,,OFFICE O/P NEW MOD 45 MIN,EM,NEW_MOD
124,99205,,OFFICE O/P NEW HI 60 MIN,EM,NEW_HI
125,73080,,X-RAY EXAM OF ELBOW,XRAY,upper_extrem
126,75561,,CARDIAC MRI FOR MORPH W/DYE,MRI w/,CHEST
127,72100,,X-RAY EXAM L-S SPINE 2/3 VWS,XRAY,spine
128,73610,,X-RAY EXAM OF ANKLE,XRAY,lower_extremity
129,76857,,US EXAM PELVIC LIMITED,ULTRASOUND,pelvis
130,71046,,X-RAY EXAM CHEST 2 VIEWS,XRAY,CHEST
131,71100,,X-RAY EXAM RIBS UNI 2 VIEWS,XRAY,CHEST
132,72070,,X-RAY EXAM THORAC SPINE 2VWS,XRAY,spine
133,72131,,0,CT w/o,
134,70486,,0,CT w/o,
135,70480,,0,CT w/o,
136,72192,,0,CT w/o,
137,70490,,0,CT w/o,
138,72128,,0,CT w/o,
139,71250,,0,CT w/o,
140,73200,,0,CT w/o,
141,74177,,0,CT w/,
142,74160,,0,CT w/,
143,72126,,0,CT w/,
144,70460,,0,CT w/,
145,73701,,0,CT w/,
146,72132,,0,CT w/,
147,70487,,0,CT w/,
148,70481,,0,CT w/,
149,72193,,0,CT w/,
150,70491,,0,CT w/,
151,72129,,0,CT w/,
152,71260,,0,CT w/,
153,73201,,0,CT w/,
154,74178,,0,CT w/&w/o,
155,74170,,0,CT w/&w/o,
156,72127,,0,CT w/&w/o,
157,70470,,0,CT w/&w/o,
158,73702,,0,CT w/,
159,72133,,0,CT w/&w/o,
160,70488,,0,CT w/&w/o,
161,70482,,0,CT w/,
162,72194,,0,CT w/&w/o,
163,70492,,0,CT w/&w/o,
164,72130,,0,CT w/&w/o,
165,71270,,0,CT w/&w/o,
166,73202,,0,CT w/,
167,ZZZZZ,,#VALUE!,0,
168,23350,,0,0,
169,76882,,US LMTD JT/FCL EVL NVASC XTR,ultrasound,
170,73525,,CONTRAST X-RAY OF HIP,XRAY,
171,27093,,INJECTION FOR HIP X-RAY,INJ,
172,77002,,NEEDLE LOCALIZATION BY XRAY,NEEDLE,
173,73552,,X-RAY EXAM OF FEMUR 2/>,XRAY,
174,73030,,X-RAY EXAM OF SHOULDER,XRAY,
175,73090,,X-RAY EXAM OF FOREARM,XRAY,
176,73564,,X-RAY EXAM KNEE 4 OR MORE,XRAY,
177,72170,,X-RAY EXAM OF PELVIS,XRAY,
178,73600,,X-RAY EXAM OF ANKLE,XRAY,
179,72110,,X-RAY EXAM L-2 SPINE 4/>VWS,XRAY,
180,77012,,CT SCAN FOR NEEDLE BIOPSY,NEEDLE,
181,73630,,X-RAY EXAM OF FOOT,XRAY,
182,62304,,MYELOGRAPHY LUMBAR INJECTION,INJ,
183,77003,,FLUOROGUIDE FOR SPINE INJECT,INJ,
184,62284,,INJECTION FOR MYELOGRAM,INJ,
185,73040,,CONTRAST X-RAY OF SHOULDER,XRAY,
186,99214,,OFFICE O/P EST MOD 30 MIN,EM,
187,95886,,MUSC TEST DONE W/N TEST COMP,EMG,
188,72114,,X-RAY EXAM L-S SPINE BENDING,XRAY,
189,76376,,3D RENDER W/INTRP POSTPROCES,0,
190,77080,,DXA BONE DENSITY AXIAL,BONESCAN,
191,73130,,X-RAY EXAM OF HAND,XRAY,
192,73110,,X-RAY EXAM OF WRIST,XRAY,
193,72072,,X-RAY EXAM THORAC SPINE 3VWS,XRAY,
194,25246,,INJECTION FOR WRIST X-RAY,INJ,
195,72050,,X-RAY EXAM NECK SPINE 4/5VWS,XRAY,
196,70150,,X-RAY EXAM OF FACIAL BONES,XRAY,
197,76377,,3D RENDER W/INTRP POSTPROCES,0,
198,72040,,X-RAY EXAM NECK SPINE 2-3 VW,XRAY,
199,70030,,X-RAY EYE FOR FOREIGN BODY,XRAY,
200,76700,,US EXAM ABDOM COMPLETE,ULTRASOUND,
201,99203,,OFFICE O/P NEW LOW 30 MIN,EM,
202,76536,,US EXAM OF HEAD AND NECK,ULTRASOUND,
203,95885,,MUSC TST DONE W/NERV TST LIM,EMG,
204,95870,,NDL EMG LMTD STD MUSC 1 XTR,EMG,
205,73590,,X-RAY EXAM OF LOWER LEG,XRAY,
206,95913,,NRV CNDJ TEST 13/> STUDIES,EMG,
207,95905,,MOTOR &/ SENS NRVE CNDJ TEST,EMG,
208,95907,,NVR CNDJ TST 1-2 STUDIES,EMG,
209,95908,,NRV CNDJ TST 3-4 STUDIES,EMG,
210,95909,,NRV CNDJ TST 5-6 STUDIES,EMG,
211,95910,,NRV CNDJ TEST 7-8 STUDIES,EMG,
212,95911,,NRV CNDJ TEST 9-10 STUDIES,EMG,
213,95912,,NRV CNDJ TEST 11-12 STUDIES,EMG,
214,99202,,OFFICE O/P NEW SF 15 MIN,EM,
215,99204,,OFFICE O/P NEW MOD 45 MIN,EM,
216,99205,,OFFICE O/P NEW HI 60 MIN,EM,
217,73080,,X-RAY EXAM OF ELBOW,XRAY,
218,75561,,CARDIAC MRI FOR MORPH W/DYE,MRI w/,
219,A9573,,#VALUE!,ancillary,
220,72100,,X-RAY EXAM L-S SPINE 2/3 VWS,XRAY,
221,73610,,X-RAY EXAM OF ANKLE,XRAY,
222,A9585,,#VALUE!,ancillary,
223,G9637,,#VALUE!,ancillary,
224,G9322,,#VALUE!,ancillary,
225,76857,,US EXAM PELVIC LIMITED,ULTRASOUND,
226,A9503,,#VALUE!,ancillary,
227,71046,,X-RAY EXAM CHEST 2 VIEWS,XRAY,
228,71100,,X-RAY EXAM RIBS UNI 2 VIEWS,XRAY,
229,72070,,X-RAY EXAM THORAC SPINE 2VWS,XRAY,
230,72080,,X-RAY EXAM THORACOLMB 2/> VW,XRAY,
231,73070,,X-RAY EXAM OF ELBOW,XRAY,
232,73100,,X-RAY EXAM OF WRIST,XRAY,
233,73120,,X-RAY EXAM OF HAND,XRAY,
234,73140,,X-RAY EXAM OF FINGER(S),XRAY,
235,73502,,X-RAY EXAM HIP UNI 2-3 VIEWS,XRAY,
236,73503,,X-RAY EXAM HIP UNI 4/> VIEWS,XRAY,
237,73521,,X-RAY EXAM HIPS BI 2 VIEWS,XRAY,
238,73560,,X-RAY EXAM OF KNEE 1 OR 2,XRAY,
239,73562,,X-RAY EXAM OF KNEE 3,XRAY,
240,73580,,CONTRAST X-RAY OF KNEE JOINT,XRAY,
241,73620,,X-RAY EXAM OF FOOT,XRAY,
242,27096,,INJECT SACROILIAC JOINT,INJ,
243,27369,,NJX CNTRST KNE ARTHG/CT/MRI,INJ,
244,29827,,SHO ARTHRS SRG RT8TR CUF RPR,SURG,
245,68500,,REMOVAL OF TEAR GLAND,SURG,
246,82565,,ASSAY OF CREATININE,LAB,
247,92100,,SERIAL TONOMETRY,LAB,
248,93880,,EXTRACRANIAL BILAT STUDY,EMG Study,
249,93925,,LOWER EXTREMITY STUDY,EMG Study,
250,93971,,EXTREMITY STUDY,EMG Study,
251,93975,,VASCULAR STUDY,EMG Study,
252,95887,,MUSC TST DONE W/N TST NONEXT,EMG,
253,99156,,MOD SED OTH PHYS/QHP 5/>YRS,E&M,
254,99157,,MOD SED OTHER PHYS/QHP EA,E&M,
255,99199,,UNLISTED SPECIAL SVC PX/RPRT,E&M,
256,99213,,OFFICE O/P EST LOW 20 MIN,E&M,
257,A9552,,#VALUE!,ancillary,
258,A9579,,#VALUE!,ancillary,
259,E1399,,#VALUE!,DMEPOS,
260,G9500,,#VALUE!,ancillary,
261,G9903,,#VALUE!,ancillary,
262,J2250,,#VALUE!,INJ,
263,L3020,,#VALUE!,DME,
264,M1300,,#VALUE!,ancillary,
265,Q9957,,#VALUE!,ancillary,
266,Q9958,,#VALUE!,ancillary,
267,V5258,,#VALUE!,DME,
